State,Month,Year,Incident,Animal,Severity,Monetary_Impact
Karnataka,6,2022,Wild animal entering populated area,Deer,Low,124
Tamil Nadu,12,2022,Wild animal entering populated area,Bear,High,388
Goa,2,2021,Poaching,Rhino,Low,54
West Bengal,2,2023,Wild animal entering populated area,Elephant,Low,49
Karnataka,5,2020,Wild animal entering populated area,Deer,Low,52
Odisha,4,2022,Trap/Accident,Bear,Low,91
Goa,11,2025,Conflict with humans,Monkey,Low,66
Himachal Pradesh,2,2020,Illegal trade,Monkey,Low,34
Goa,3,2022,Wild animal entering populated area,Wild Boar,High,527
Assam,7,2024,Conflict with humans,Elephant,Medium,193
Karnataka,8,2021,Conflict with humans,Elephant,Low,135
Uttar Pradesh,12,2023,Injury/Death,Snake,Critical,442
Kerala,6,2023,Wild animal entering populated area,Bear,Medium,193
Maharashtra,11,2022,Trap/Accident,Rhino,Critical,274
Maharashtra,5,2018,Poaching,Monkey,Medium,59
Madhya Pradesh,1,2021,Trap/Accident,Deer,Medium,209
Odisha,8,2020,Conflict with humans,Snake,Low,96
Maharashtra,3,2019,Wild animal entering populated area,Elephant,Critical,745
Madhya Pradesh,6,2020,Wild animal entering populated area,Deer,High,466
Tamil Nadu,3,2018,Wild animal entering populated area,Bear,High,180
West Bengal,7,2025,Wild animal entering populated area,Elephant,Low,92
West Bengal,7,2022,Wild animal entering populated area,Elephant,Medium,97
Rajasthan,12,2025,Smuggling,Leopard,High,290
Karnataka,9,2023,Wild animal entering populated area,Monkey,Medium,36
Kerala,5,2021,Poaching,Wild Boar,Low,106
Maharashtra,8,2020,Wild animal entering populated area,Deer,Medium,223
Maharashtra,10,2023,Smuggling,Monkey,Low,28
Madhya Pradesh,10,2023,Conflict with humans,Bear,Medium,32
Uttar Pradesh,8,2022,Wild animal entering populated area,Deer,Low,85
Maharashtra,1,2025,Conflict with humans,Elephant,Critical,590
Madhya Pradesh,12,2023,Smuggling,Deer,Medium,123
Madhya Pradesh,5,2020,Smuggling,Bear,Low,56
Tamil Nadu,3,2018,Conflict with humans,Tiger,Low,99
Maharashtra,1,2024,Injury/Death,Monkey,Low,104
Uttar Pradesh,4,2021,Illegal trade,Leopard,Low,104
Karnataka,8,2020,Conflict with humans,Leopard,Medium,151
Rajasthan,3,2022,Wild animal entering populated area,Bear,Low,95
Madhya Pradesh,10,2025,Conflict with humans,Leopard,Low,123
Uttar Pradesh,2,2023,Poaching,Monkey,Medium,94
Maharashtra,11,2020,Conflict with humans,Tiger,Low,77
West Bengal,9,2023,Wild animal entering populated area,Lion,Medium,170
Karnataka,10,2023,Conflict with humans,Tiger,Medium,133
Karnataka,5,2022,Illegal trade,Tiger,High,231
Karnataka,7,2021,Wild animal entering populated area,Bear,Medium,164
Himachal Pradesh,11,2021,Conflict with humans,Leopard,Medium,146
Madhya Pradesh,11,2021,Wild animal entering populated area,Bear,High,424
Maharashtra,2,2018,Trap/Accident,Wild Boar,Low,95
West Bengal,9,2024,Wild animal entering populated area,Rhino,Low,105
Karnataka,9,2018,Wild animal entering populated area,Monkey,Low,71
Tamil Nadu,4,2020,Conflict with humans,Snake,Medium,79
Uttar Pradesh,4,2023,Conflict with humans,Monkey,High,253
Rajasthan,6,2019,Wild animal entering populated area,Bear,Low,64
Maharashtra,10,2020,Illegal trade,Deer,Low,41
Tamil Nadu,10,2019,Smuggling,Rhino,High,530
Maharashtra,10,2022,Wild animal entering populated area,Bear,Low,100
Karnataka,6,2024,Wild animal entering populated area,Wild Boar,Low,65
Goa,12,2025,Smuggling,Leopard,Low,102
Rajasthan,1,2020,Illegal trade,Bear,Medium,41
West Bengal,9,2018,Wild animal entering populated area,Elephant,Medium,32
Kerala,2,2023,Illegal trade,Rhino,Medium,31
Kerala,5,2021,Illegal trade,Leopard,High,512
Odisha,9,2023,Injury/Death,Snake,High,116
Kerala,4,2020,Wild animal entering populated area,Wild Boar,Low,98
Tamil Nadu,11,2019,Poaching,Monkey,High,223
Rajasthan,3,2020,Conflict with humans,Leopard,Low,77
Uttar Pradesh,7,2020,Conflict with humans,Leopard,Low,141
Madhya Pradesh,6,2021,Wild animal entering populated area,Deer,Low,92
Uttar Pradesh,8,2023,Injury/Death,Snake,Low,48
Uttar Pradesh,3,2020,Poaching,Monkey,Medium,156
Karnataka,5,2024,Wild animal entering populated area,Bear,Low,47
Tamil Nadu,10,2019,Conflict with humans,Wild Boar,Low,88
Karnataka,4,2025,Trap/Accident,Monkey,Low,89
Madhya Pradesh,4,2021,Trap/Accident,Bear,Medium,59
Kerala,4,2019,Conflict with humans,Leopard,Low,54
Maharashtra,10,2021,Wild animal entering populated area,Monkey,High,223
Odisha,8,2022,Conflict with humans,Lion,Low,89
Rajasthan,6,2023,Wild animal entering populated area,Deer,Low,126
Himachal Pradesh,3,2023,Wild animal entering populated area,Deer,Low,38
Odisha,10,2024,Poaching,Leopard,High,524
Odisha,5,2024,Conflict with humans,Snake,Low,93
Maharashtra,6,2018,Injury/Death,Snake,Critical,503
West Bengal,5,2021,Conflict with humans,Tiger,Low,83
Karnataka,6,2024,Wild animal entering populated area,Deer,Low,121
Kerala,8,2023,Wild animal entering populated area,Monkey,Low,58
Madhya Pradesh,7,2025,Wild animal entering populated area,Deer,Medium,138
Maharashtra,5,2022,Wild animal entering populated area,Deer,Medium,183
Odisha,10,2019,Conflict with humans,Tiger,High,450
Karnataka,6,2023,Wild animal entering populated area,Elephant,Medium,151
Madhya Pradesh,4,2020,Conflict with humans,Leopard,High,57
Kerala,12,2022,Trap/Accident,Deer,Low,86
Tamil Nadu,9,2022,Wild animal entering populated area,Monkey,Medium,217
Himachal Pradesh,4,2021,Conflict with humans,Bear,Low,109
Madhya Pradesh,1,2022,Injury/Death,Bear,Low,32
Karnataka,7,2018,Wild animal entering populated area,Wild Boar,High,494
Rajasthan,7,2019,Conflict with humans,Leopard,High,504
Kerala,4,2022,Conflict with humans,Deer,Medium,117
Assam,3,2019,Conflict with humans,Tiger,High,278
Madhya Pradesh,8,2020,Wild animal entering populated area,Deer,Medium,121
Maharashtra,5,2018,Injury/Death,Snake,Medium,111
Assam,10,2022,Wild animal entering populated area,Elephant,Low,115
Odisha,7,2023,Smuggling,Leopard,Low,85
Rajasthan,4,2022,Conflict with humans,Leopard,Low,104
Rajasthan,4,2025,Injury/Death,Bear,Low,88
Karnataka,8,2025,Injury/Death,Snake,Critical,298
Odisha,8,2025,Wild animal entering populated area,Lion,Low,47
Madhya Pradesh,2,2021,Poaching,Deer,Low,52
Uttar Pradesh,2,2022,Wild animal entering populated area,Monkey,Low,65
Tamil Nadu,3,2023,Wild animal entering populated area,Elephant,Low,71
Uttar Pradesh,12,2022,Poaching,Deer,Medium,177
Maharashtra,12,2021,Wild animal entering populated area,Elephant,Low,86
Karnataka,3,2018,Injury/Death,Rhino,Medium,185
Karnataka,1,2025,Conflict with humans,Snake,Low,103
Rajasthan,3,2021,Conflict with humans,Leopard,High,56
Maharashtra,6,2022,Smuggling,Tiger,Low,96
Madhya Pradesh,8,2020,Illegal trade,Leopard,Low,128
Karnataka,12,2021,Conflict with humans,Wolf,Low,105
Maharashtra,10,2020,Conflict with humans,Bear,Medium,77
Himachal Pradesh,6,2025,Wild animal entering populated area,Rhino,Medium,124
Madhya Pradesh,5,2023,Injury/Death,Deer,Low,92
Madhya Pradesh,4,2022,Smuggling,Leopard,Medium,123
Tamil Nadu,3,2022,Conflict with humans,Tiger,Medium,105
Uttarakhand,4,2023,Poaching,Leopard,Medium,153
Rajasthan,7,2023,Wild animal entering populated area,Bear,Medium,223
Madhya Pradesh,1,2023,Conflict with humans,Leopard,Medium,122
Kerala,7,2025,Wild animal entering populated area,Deer,Low,133
Madhya Pradesh,1,2023,Smuggling,Leopard,Low,112
Madhya Pradesh,2,2020,Poaching,Leopard,Low,87
Odisha,4,2018,Illegal trade,Tiger,High,405
Tamil Nadu,1,2024,Trap/Accident,Monkey,Medium,71
Himachal Pradesh,11,2023,Conflict with humans,Deer,Critical,313
Uttar Pradesh,12,2023,Conflict with humans,Snake,Medium,167
Maharashtra,11,2023,Poaching,Tiger,Medium,188
Tamil Nadu,11,2023,Injury/Death,Monkey,High,372
Maharashtra,9,2020,Wild animal entering populated area,Bear,Low,104
Karnataka,12,2022,Poaching,Tiger,High,170
Odisha,6,2023,Conflict with humans,Elephant,Low,80
Kerala,1,2020,Wild animal entering populated area,Monkey,Low,73
Odisha,1,2022,Wild animal entering populated area,Deer,Low,133
West Bengal,6,2025,Wild animal entering populated area,Elephant,Low,140
Karnataka,4,2024,Injury/Death,Snake,Low,67
Odisha,4,2018,Wild animal entering populated area,Deer,Low,110
Assam,11,2023,Conflict with humans,Elephant,Low,74
Odisha,6,2023,Conflict with humans,Tiger,Medium,187
Kerala,12,2025,Trap/Accident,Monkey,Critical,628
Karnataka,11,2021,Poaching,Monkey,Critical,725
Rajasthan,7,2022,Conflict with humans,Leopard,Low,127
Karnataka,9,2025,Wild animal entering populated area,Wild Boar,High,256
Tamil Nadu,10,2022,Poaching,Deer,Low,56
West Bengal,5,2020,Conflict with humans,Elephant,Medium,147
Maharashtra,9,2021,Wild animal entering populated area,Crocodile,Medium,198
Assam,4,2024,Poaching,Tiger,Low,77
Odisha,10,2020,Trap/Accident,Monkey,Low,138
Goa,2,2021,Illegal trade,Wild Boar,Low,132
Uttar Pradesh,3,2025,Conflict with humans,Leopard,Low,37
Odisha,11,2023,Trap/Accident,Bear,Medium,70
Odisha,1,2021,Conflict with humans,Leopard,High,141
Maharashtra,6,2021,Illegal trade,Leopard,Medium,120
West Bengal,6,2021,Wild animal entering populated area,Elephant,Medium,54
Odisha,1,2024,Wild animal entering populated area,Bear,Critical,873
Odisha,11,2023,Conflict with humans,Elephant,High,152
Karnataka,3,2019,Poaching,Leopard,Medium,102
Rajasthan,5,2023,Conflict with humans,Bear,Medium,179
Odisha,3,2023,Wild animal entering populated area,Bear,Low,57
Maharashtra,10,2021,Conflict with humans,Snake,Low,53
Assam,3,2019,Wild animal entering populated area,Elephant,Low,63
Karnataka,10,2023,Illegal trade,Tiger,Low,26
Himachal Pradesh,3,2025,Injury/Death,Snake,Low,94
Karnataka,5,2021,Conflict with humans,Tiger,Low,116
Madhya Pradesh,5,2021,Trap/Accident,Bear,Medium,91
Maharashtra,4,2025,Conflict with humans,Tiger,Medium,196
Assam,1,2024,Wild animal entering populated area,Elephant,Low,92
West Bengal,5,2018,Conflict with humans,Rhino,Medium,51
Madhya Pradesh,10,2018,Conflict with humans,Bear,Medium,102
Uttar Pradesh,5,2023,Poaching,Tiger,Medium,47
Karnataka,4,2022,Injury/Death,Bear,Medium,137
Karnataka,6,2023,Wild animal entering populated area,Monkey,Low,119
Maharashtra,10,2023,Wild animal entering populated area,Elephant,Critical,387
Karnataka,4,2019,Conflict with humans,Leopard,Low,78
Maharashtra,7,2021,Wild animal entering populated area,Deer,Medium,172
Maharashtra,7,2023,Wild animal entering populated area,Monkey,Critical,593
Uttar Pradesh,2,2020,Trap/Accident,Deer,Low,34
Assam,3,2020,Wild animal entering populated area,Elephant,Critical,1030
Odisha,1,2025,Wild animal entering populated area,Crocodile,Low,66
Madhya Pradesh,8,2022,Smuggling,Leopard,Critical,489
Uttar Pradesh,9,2024,Injury/Death,Snake,High,429
Tamil Nadu,4,2020,Injury/Death,Snake,Medium,184
Rajasthan,6,2018,Wild animal entering populated area,Bear,High,84
Maharashtra,9,2020,Wild animal entering populated area,Crocodile,Medium,62
Uttar Pradesh,6,2023,Wild animal entering populated area,Wild Boar,Low,143
Goa,12,2020,Poaching,Leopard,Medium,170
West Bengal,12,2025,Wild animal entering populated area,Elephant,Low,95
West Bengal,12,2021,Wild animal entering populated area,Cheetah,High,161
Karnataka,9,2022,Wild animal entering populated area,Deer,High,101
Maharashtra,4,2022,Conflict with humans,Leopard,High,391
Madhya Pradesh,8,2024,Wild animal entering populated area,Bear,Low,123
Tamil Nadu,9,2019,Wild animal entering populated area,Wild Boar,Medium,177
Tamil Nadu,4,2020,Conflict with humans,Tiger,High,448
Odisha,5,2021,Conflict with humans,Crocodile,Low,53
Maharashtra,8,2020,Conflict with humans,Elephant,High,478
Karnataka,12,2021,Trap/Accident,Monkey,Critical,541
Tamil Nadu,10,2022,Smuggling,Deer,High,97
Assam,6,2022,Wild animal entering populated area,Elephant,Medium,65
Rajasthan,12,2023,Poaching,Leopard,Low,92
Madhya Pradesh,7,2019,Wild animal entering populated area,Bear,High,314
Maharashtra,3,2018,Injury/Death,Wild Boar,Low,98
Rajasthan,7,2023,Smuggling,Leopard,High,359
West Bengal,12,2018,Conflict with humans,Rhino,Low,122
Uttar Pradesh,8,2022,Wild animal entering populated area,Elephant,Medium,154
Maharashtra,10,2025,Poaching,Leopard,Low,104
Odisha,6,2019,Wild animal entering populated area,Crocodile,Medium,94
Karnataka,10,2022,Conflict with humans,Snake,Medium,119
Madhya Pradesh,9,2018,Conflict with humans,Leopard,High,272
Karnataka,6,2022,Conflict with humans,Tiger,Low,82
Maharashtra,12,2025,Injury/Death,Snake,Low,37
Uttarakhand,9,2023,Wild animal entering populated area,Monkey,Medium,153
Karnataka,4,2025,Poaching,Leopard,Medium,96
Assam,8,2022,Wild animal entering populated area,Rhino,Medium,45
Assam,11,2021,Conflict with humans,Rhino,Low,110
Assam,4,2021,Wild animal entering populated area,Elephant,Low,109
Karnataka,2,2021,Conflict with humans,Monkey,Low,144
Tamil Nadu,10,2024,Wild animal entering populated area,Crocodile,Medium,108
Karnataka,11,2025,Illegal trade,Crocodile,Low,81
Maharashtra,9,2024,Illegal trade,Tiger,High,244
Rajasthan,5,2025,Poaching,Leopard,Low,56
Madhya Pradesh,4,2023,Conflict with humans,Leopard,High,543
Karnataka,2,2021,Trap/Accident,Monkey,Low,30
Tamil Nadu,1,2018,Poaching,Leopard,Critical,624
Uttar Pradesh,11,2021,Poaching,Tiger,Low,18
Goa,7,2021,Conflict with humans,Tiger,Medium,191
West Bengal,6,2019,Wild animal entering populated area,Elephant,High,353
West Bengal,2,2022,Conflict with humans,Rhino,Low,110
Karnataka,8,2023,Smuggling,Leopard,Medium,64
Maharashtra,11,2023,Injury/Death,Wolf,Medium,233
Karnataka,4,2024,Conflict with humans,Leopard,Critical,843
Tamil Nadu,8,2019,Poaching,Leopard,High,326
Maharashtra,7,2022,Poaching,Leopard,Low,113
Madhya Pradesh,5,2024,Conflict with humans,Leopard,Low,52
Tamil Nadu,10,2020,Conflict with humans,Elephant,Critical,620
Uttar Pradesh,10,2023,Wild animal entering populated area,Monkey,Low,37
Uttar Pradesh,12,2024,Conflict with humans,Monkey,Low,74
Goa,8,2021,Conflict with humans,Tiger,Low,51
Maharashtra,9,2022,Wild animal entering populated area,Deer,Low,31
Rajasthan,5,2023,Conflict with humans,Leopard,Medium,85
Karnataka,10,2022,Wild animal entering populated area,Elephant,High,258
Madhya Pradesh,5,2021,Wild animal entering populated area,Bear,Low,78
Tamil Nadu,2,2020,Conflict with humans,Tiger,Critical,614
Uttar Pradesh,5,2025,Injury/Death,Deer,Low,107
Karnataka,3,2025,Wild animal entering populated area,Monkey,Medium,86
Uttar Pradesh,7,2024,Wild animal entering populated area,Crocodile,Medium,165
Karnataka,10,2018,Injury/Death,Rhino,Low,22
Karnataka,5,2021,Injury/Death,Snake,Medium,132
Maharashtra,8,2018,Conflict with humans,Elephant,Medium,79
Assam,1,2024,Conflict with humans,Elephant,High,223
West Bengal,3,2021,Illegal trade,Tiger,Medium,143
Maharashtra,3,2021,Wild animal entering populated area,Elephant,High,190
Tamil Nadu,9,2022,Wild animal entering populated area,Wild Boar,Low,61
Rajasthan,5,2021,Illegal trade,Leopard,Critical,929
Goa,12,2022,Conflict with humans,Leopard,Medium,132
Rajasthan,9,2019,Wild animal entering populated area,Deer,Low,53
Rajasthan,9,2021,Wild animal entering populated area,Deer,Low,131
Madhya Pradesh,1,2025,Poaching,Deer,Low,77
Kerala,2,2025,Illegal trade,Tiger,Low,102
Uttar Pradesh,5,2025,Wild animal entering populated area,Elephant,High,459
Rajasthan,4,2024,Illegal trade,Leopard,Medium,156
Madhya Pradesh,10,2025,Poaching,Leopard,Medium,181
Uttar Pradesh,9,2023,Wild animal entering populated area,Crocodile,Medium,209
Madhya Pradesh,7,2020,Wild animal entering populated area,Deer,High,410
Uttar Pradesh,6,2020,Wild animal entering populated area,Deer,Medium,187
Maharashtra,7,2019,Wild animal entering populated area,Deer,Medium,158
Madhya Pradesh,1,2022,Conflict with humans,Bear,Medium,48
Assam,1,2022,Trap/Accident,Rhino,Critical,878
Uttar Pradesh,8,2024,Wild animal entering populated area,Crocodile,Medium,57
Madhya Pradesh,2,2022,Wild animal entering populated area,Deer,Critical,700
Kerala,12,2019,Conflict with humans,Snake,Critical,508
West Bengal,10,2024,Wild animal entering populated area,Elephant,High,246
West Bengal,11,2021,Wild animal entering populated area,Elephant,Low,85
Maharashtra,9,2023,Poaching,Tiger,Medium,81
Assam,7,2022,Conflict with humans,Tiger,Medium,194
Karnataka,6,2024,Wild animal entering populated area,Crocodile,Medium,82
Odisha,1,2019,Conflict with humans,Leopard,Medium,66
Odisha,1,2021,Injury/Death,Snake,Low,65
Kerala,2,2019,Wild animal entering populated area,Elephant,High,76
Maharashtra,6,2023,Conflict with humans,Snake,Medium,136
Uttar Pradesh,6,2020,Wild animal entering populated area,Monkey,High,348
Odisha,2,2020,Injury/Death,Snake,Critical,257
Uttar Pradesh,1,2023,Poaching,Leopard,Medium,44
Odisha,10,2023,Conflict with humans,Snake,Medium,183
West Bengal,5,2019,Wild animal entering populated area,Elephant,Low,46
Madhya Pradesh,5,2021,Trap/Accident,Bear,Medium,195
Karnataka,2,2023,Conflict with humans,Elephant,Medium,180
Goa,6,2019,Illegal trade,Leopard,High,469
Madhya Pradesh,9,2025,Wild animal entering populated area,Deer,High,259
Maharashtra,2,2025,Wild animal entering populated area,Monkey,Critical,410
Uttar Pradesh,10,2023,Trap/Accident,Rhino,Medium,124
Uttar Pradesh,2,2020,Conflict with humans,Leopard,Medium,98
Tamil Nadu,3,2020,Wild animal entering populated area,Elephant,Low,16
Tamil Nadu,7,2022,Wild animal entering populated area,Crocodile,Critical,306
Uttar Pradesh,6,2024,Wild animal entering populated area,Monkey,Medium,146
Madhya Pradesh,12,2019,Poaching,Leopard,Medium,70
Kerala,8,2019,Wild animal entering populated area,Wild Boar,Medium,206
West Bengal,8,2022,Wild animal entering populated area,Rhino,Medium,169
Rajasthan,6,2023,Wild animal entering populated area,Deer,Low,122
Uttar Pradesh,12,2019,Wild animal entering populated area,Deer,Medium,91
Uttar Pradesh,11,2023,Smuggling,Deer,Medium,176
Himachal Pradesh,10,2024,Wild animal entering populated area,Wild Boar,High,389
Rajasthan,3,2025,Conflict with humans,Leopard,High,284
Assam,3,2023,Conflict with humans,Elephant,High,147
Odisha,1,2022,Poaching,Monkey,High,133
Odisha,7,2023,Wild animal entering populated area,Rhino,Low,97
Rajasthan,5,2021,Conflict with humans,Bear,Medium,65
Maharashtra,4,2023,Wild animal entering populated area,Elephant,Medium,106
Tamil Nadu,10,2023,Conflict with humans,Tiger,Low,101
Rajasthan,4,2021,Injury/Death,Bear,High,444
Tamil Nadu,4,2023,Injury/Death,Crocodile,Low,35
Uttar Pradesh,6,2022,Wild animal entering populated area,Monkey,High,470
Uttar Pradesh,8,2024,Wild animal entering populated area,Monkey,Low,67
Uttar Pradesh,8,2024,Wild animal entering populated area,Bear,Medium,90
West Bengal,5,2020,Trap/Accident,Rhino,Critical,920
Maharashtra,6,2019,Poaching,Leopard,Low,80
Tamil Nadu,4,2019,Poaching,Leopard,Medium,72
Maharashtra,12,2019,Injury/Death,Deer,Low,98
West Bengal,11,2023,Conflict with humans,Elephant,High,32
Assam,9,2025,Wild animal entering populated area,Rhino,Low,120
Maharashtra,8,2023,Wild animal entering populated area,Deer,Medium,83
Madhya Pradesh,10,2019,Trap/Accident,Bear,Low,38
Tamil Nadu,12,2021,Conflict with humans,Deer,Medium,64
Karnataka,10,2024,Injury/Death,Crocodile,Low,60
Assam,1,2025,Injury/Death,Rhino,Medium,70
Odisha,2,2022,Poaching,Tiger,Medium,173
Madhya Pradesh,9,2018,Illegal trade,Leopard,Low,39
Maharashtra,8,2018,Wild animal entering populated area,Elephant,High,492
Kerala,3,2022,Wild animal entering populated area,Elephant,Low,58
Tamil Nadu,8,2024,Wild animal entering populated area,Deer,Low,89
Tamil Nadu,12,2025,Injury/Death,Wild Boar,Medium,210
Uttar Pradesh,1,2021,Wild animal entering populated area,Elephant,Medium,65
Assam,10,2021,Wild animal entering populated area,Elephant,Critical,723
Maharashtra,4,2023,Trap/Accident,Wild Boar,Medium,209
Madhya Pradesh,3,2024,Injury/Death,Deer,Critical,558
Maharashtra,6,2022,Wild animal entering populated area,Crocodile,Medium,34
Odisha,7,2022,Wild animal entering populated area,Monkey,High,95
Uttar Pradesh,4,2020,Conflict with humans,Elephant,High,293
Madhya Pradesh,7,2021,Wild animal entering populated area,Deer,Medium,133
Karnataka,9,2022,Wild animal entering populated area,Wild Boar,Medium,218
Uttar Pradesh,11,2022,Wild animal entering populated area,Elephant,High,376
West Bengal,2,2019,Trap/Accident,Rhino,Critical,941
Himachal Pradesh,11,2025,Conflict with humans,Snake,Low,43
Karnataka,3,2024,Smuggling,Deer,High,278
Madhya Pradesh,5,2022,Conflict with humans,Deer,Medium,104
Assam,3,2022,Conflict with humans,Tiger,High,192
Assam,11,2022,Conflict with humans,Elephant,Critical,1004
Madhya Pradesh,8,2019,Wild animal entering populated area,Bear,Medium,89
Madhya Pradesh,12,2023,Conflict with humans,Leopard,Medium,120
Uttar Pradesh,10,2024,Poaching,Monkey,Critical,572
Karnataka,8,2023,Wild animal entering populated area,Monkey,Medium,196
Tamil Nadu,8,2022,Conflict with humans,Leopard,Low,104
Uttar Pradesh,12,2021,Trap/Accident,Bear,Medium,105
Maharashtra,12,2025,Conflict with humans,Monkey,Critical,786
Madhya Pradesh,9,2019,Illegal trade,Leopard,Low,72
Madhya Pradesh,4,2025,Conflict with humans,Deer,Low,109
Maharashtra,5,2023,Conflict with humans,Elephant,Low,84
Karnataka,5,2022,Wild animal entering populated area,Elephant,High,400
Madhya Pradesh,8,2024,Wild animal entering populated area,Bear,Medium,103
Madhya Pradesh,7,2022,Conflict with humans,Leopard,Low,34
Karnataka,9,2023,Wild animal entering populated area,Wild Boar,Medium,115
Uttar Pradesh,8,2021,Wild animal entering populated area,Monkey,Medium,162
Madhya Pradesh,2,2025,Poaching,Leopard,High,68
Assam,10,2021,Wild animal entering populated area,Elephant,High,397
Tamil Nadu,12,2024,Smuggling,Tiger,Medium,160
Madhya Pradesh,4,2020,Trap/Accident,Bear,Low,103
Uttar Pradesh,6,2023,Injury/Death,Snake,High,228
West Bengal,12,2024,Trap/Accident,Rhino,Medium,208
Maharashtra,2,2023,Wild animal entering populated area,Elephant,High,92
Maharashtra,7,2018,Illegal trade,Tiger,Low,24
Tamil Nadu,3,2024,Wild animal entering populated area,Monkey,Low,96
Rajasthan,3,2019,Poaching,Leopard,Medium,79
Karnataka,11,2022,Smuggling,Wolf,Medium,36
Madhya Pradesh,2,2021,Trap/Accident,Bear,Medium,96
Rajasthan,11,2025,Conflict with humans,Bear,Low,131
Tamil Nadu,8,2023,Wild animal entering populated area,Wild Boar,Low,118
Karnataka,6,2024,Conflict with humans,Snake,Low,72
Madhya Pradesh,1,2025,Wild animal entering populated area,Bear,High,203
Assam,12,2022,Conflict with humans,Elephant,Medium,173
Himachal Pradesh,1,2021,Conflict with humans,Tiger,Low,103
Tamil Nadu,7,2023,Poaching,Tiger,Low,115
Uttar Pradesh,8,2025,Wild animal entering populated area,Wild Boar,Low,50
Karnataka,5,2023,Conflict with humans,Leopard,Medium,73
Rajasthan,12,2021,Conflict with humans,Leopard,Medium,79
Odisha,11,2022,Injury/Death,Snake,Low,67
Madhya Pradesh,5,2020,Injury/Death,Bear,Medium,57
West Bengal,4,2023,Conflict with humans,Elephant,Medium,128
West Bengal,6,2020,Poaching,Tiger,Low,60
Karnataka,6,2024,Wild animal entering populated area,Deer,Low,106
Uttar Pradesh,3,2021,Injury/Death,Monkey,Low,101
Maharashtra,9,2019,Wild animal entering populated area,Rhino,Critical,925
Kerala,12,2023,Conflict with humans,Leopard,Low,111
Kerala,11,2022,Conflict with humans,Elephant,High,75
Maharashtra,7,2024,Smuggling,Tiger,High,62
Madhya Pradesh,1,2024,Conflict with humans,Leopard,Low,74
West Bengal,7,2023,Wild animal entering populated area,Elephant,Low,108
West Bengal,5,2022,Conflict with humans,Wolf,Low,18
Maharashtra,5,2019,Injury/Death,Deer,Medium,55
Karnataka,2,2019,Trap/Accident,Rhino,High,298
Uttarakhand,4,2023,Illegal trade,Monkey,High,244
Tamil Nadu,12,2020,Conflict with humans,Snake,Low,38
Odisha,6,2019,Poaching,Tiger,Medium,66
West Bengal,10,2020,Conflict with humans,Elephant,Low,87
Uttar Pradesh,11,2023,Smuggling,Deer,Medium,201
Tamil Nadu,7,2023,Wild animal entering populated area,Monkey,Low,101
Tamil Nadu,11,2018,Injury/Death,Snake,Critical,1007
Karnataka,5,2023,Trap/Accident,Bear,Low,46
Uttar Pradesh,9,2022,Wild animal entering populated area,Monkey,Medium,153
West Bengal,3,2023,Wild animal entering populated area,Elephant,Low,121
Madhya Pradesh,1,2025,Illegal trade,Leopard,Medium,135
Uttar Pradesh,4,2019,Conflict with humans,Monkey,Medium,91
Maharashtra,9,2025,Wild animal entering populated area,Rhino,High,497
Uttar Pradesh,4,2021,Illegal trade,Leopard,Medium,82
West Bengal,2,2024,Smuggling,Rhino,High,385
Madhya Pradesh,10,2025,Smuggling,Leopard,Low,79
Tamil Nadu,5,2019,Smuggling,Deer,Low,71
West Bengal,3,2025,Wild animal entering populated area,Elephant,Medium,128
West Bengal,12,2019,Injury/Death,Rhino,Critical,407
Tamil Nadu,9,2018,Wild animal entering populated area,Bear,Critical,496
Maharashtra,4,2025,Conflict with humans,Tiger,Low,46
Maharashtra,6,2023,Wild animal entering populated area,Bear,Low,100
Odisha,2,2022,Conflict with humans,Snake,Low,110
West Bengal,6,2025,Wild animal entering populated area,Rhino,Low,76
Madhya Pradesh,3,2022,Wild animal entering populated area,Deer,Low,55
Karnataka,12,2021,Conflict with humans,Crocodile,Critical,722
Assam,12,2018,Conflict with humans,Elephant,Low,19
Madhya Pradesh,9,2020,Wild animal entering populated area,Bear,Critical,942
Tamil Nadu,11,2022,Smuggling,Monkey,Low,100
Maharashtra,2,2023,Wild animal entering populated area,Wild Boar,Low,125
Kerala,12,2025,Poaching,Tiger,Medium,124
Madhya Pradesh,12,2023,Wild animal entering populated area,Bear,Low,87
Kerala,9,2021,Wild animal entering populated area,Elephant,High,449
Kerala,5,2023,Poaching,Wild Boar,Low,124
West Bengal,8,2024,Wild animal entering populated area,Rhino,Medium,122
West Bengal,2,2023,Conflict with humans,Elephant,Critical,213
West Bengal,6,2023,Conflict with humans,Elephant,Medium,43
Assam,3,2024,Conflict with humans,Elephant,Critical,191
West Bengal,12,2023,Poaching,Tiger,Low,106
Himachal Pradesh,12,2020,Trap/Accident,Crocodile,Medium,54
Karnataka,10,2023,Wild animal entering populated area,Monkey,High,103
Uttar Pradesh,5,2021,Conflict with humans,Bear,Low,124
Uttar Pradesh,12,2019,Poaching,Deer,Medium,85
Maharashtra,8,2019,Wild animal entering populated area,Deer,Low,97
Assam,10,2022,Conflict with humans,Rhino,High,89
Rajasthan,1,2023,Wild animal entering populated area,Deer,Low,119
Karnataka,5,2022,Trap/Accident,Bear,Low,84
Assam,3,2018,Wild animal entering populated area,Rhino,High,501
Karnataka,4,2022,Smuggling,Monkey,Critical,807
Rajasthan,2,2022,Poaching,Bear,Medium,35
